,Customer_Name,Celebrity_des,Image
10,Atul Kulkarni,"Atul Kulkarni is a male celebrity.He was born on Friday September 10th 1965, in Karnataka, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Atul Kulkarni appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Atul's competence and enthusiasm attract people with resources.Kulkarni radiates confidence. People defer to him because they sense his sureness and effectiveness. Atul Kulkarni also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Atul to dress well. Kulkarni radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Atul Kulkarni may even dress a bit flashy, but that will not harm him. Quality is among Atul's highest priorities, and should reflect in his clothing.Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Atul's capacity for an egocentric attitude. The negative side of his personality can cause Kulkarni to be ruthless, greedy, and intensely lonely.Conversely, Atul Kulkarni can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Atul wants everyone to be as excited and as happy as him. Those who are around Kulkarni often sense this, and his coworkers and employees usually like him.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Kulkarni's Personality number often serves as a censoring device, both in terms of what Atul sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Atul Kulkarni lets enter his heart and mind.Read more about our numerological interpretation of Atul Kulkarni's personality number . . .",NONE
11,Asrani,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
12,Ayushmann Khurrana,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
13,Aruna Irani,"Aruna Irani is a Bollywood Actress.She was born on Saturday May 3rd 1952, in Mumbai, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Aruna Irani radiates with a dynamic and efficient energy. She appears controlled and capable. Aruna values courage and effort in the face of difficulties and these qualities show. Others can sense that she will not be pushed around.Aruna should dress in a dignified and correct manner, caring for the details of her appearance. While she may spend most of her time in staid business dress or suits, bright and cheerful colors work well for her. Irani is fashionable, but has her own style.Aruna Irani's appearance suffers more than most people when she is overweight. Overweight directly contradicts the type of personality Aruna is trying to project. Straight lines and square corners accent her good physique and enhance her appearance as a leader.Irani is recognized as a pioneer; she has her own ideas of how to do things. She is a risk-taker, original and highly creative.Aruna Irani should be wary of appearing too aggressive or unreceptive. She can intimidate people if she does not soften her exterior somewhat. By doing this, Aruna will attract less confident people who will be more willing to approach her with their thoughts and suggestions.Irani's Personality number often serves as a censoring device, both in terms of what Aruna sends out, as well as what she allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Aruna Irani lets enter her heart and mind.Read more about our numerological interpretation of Aruna Irani's personality number . . .",NONE
14,Annu Kapoor,"Annu Kapoor is a male celebrity.He was born on Monday February 20th 1956, in Unknown.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Annu Kapoor radiates with a dynamic and efficient energy. He appears controlled and capable. Annu values courage and effort in the face of difficulties and these qualities show. Others can sense that he will not be pushed around.Annu should dress in a dignified and correct manner, caring for the details of his appearance. While he may spend most of his time in staid business dress or suits, bright and cheerful colors work well for him. Kapoor is fashionable, but has his own style.Annu Kapoor's appearance suffers more than most people when he is overweight. Overweight directly contradicts the type of personality Annu is trying to project. Straight lines and square corners accent his good physique and enhance his appearance as a leader.Kapoor is recognized as a pioneer; he has his own ideas of how to do things. He is a risk-taker, original and highly creative.Annu Kapoor should be wary of appearing too aggressive or unreceptive. He can intimidate people if he does not soften his exterior somewhat. By doing this, Annu will attract less confident people who will be more willing to approach him with their thoughts and suggestions.Kapoor's Personality number often serves as a censoring device, both in terms of what Annu sends out, as well as what he allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Annu Kapoor lets enter his heart and mind.Read more about our numerological interpretation of Annu Kapoor's personality number . . .",NONE
15,Ashish Vidyarthi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
16,Adil Hussain,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
17,Anupam Kher,"Anupam Kher is a Bollywood Actor.He was born on Sunday March 7th 1954, in Unknown.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_3',162,'0','0']));Anupam Kher appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Anupam's competence and enthusiasm attract people with resources.Kher radiates confidence. People defer to him because they sense his sureness and effectiveness. Anupam Kher also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Anupam to dress well. Kher radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Anupam Kher may even dress a bit flashy, but that will not harm him. Quality is among Anupam's highest priorities, and should reflect in his clothing.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-3','ezslot_1',153,'0','0']));Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Anupam's capacity for an egocentric attitude. The negative side of his personality can cause Kher to be ruthless, greedy, and intensely lonely.Conversely, Anupam Kher can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Anupam wants everyone to be as excited and as happy as him. Those who are around Kher often sense this, and his coworkers and employees usually like him.eval(ez_write_tag([[250,250],'celebrities_galore_com-medrectangle-4','ezslot_5',154,'0','0']));Kher's Personality number often serves as a censoring device, both in terms of what Anupam sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Anupam Kher lets enter his heart and mind.Read more about our numerological interpretation of Anupam Kher's personality number . . .",NONE
18,Anil Kapoor,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ But it is not conscious strategy to go for unconventional roles.”Anil Kapoor is an Indian actor and producer who has appeared in many Bollywood and international films and television series during his 40-year career, awarding him with 2 National Film Awards and 6 Filmfare Awards in different acting categories.He was born on Thursday December 24th 1959, in Mumbai, Maharashtra, India.Anil Kapoor appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Anil's competence and enthusiasm attract people with resources.Kapoor radiates confidence. People defer to him because they sense his sureness and effectiveness. Anil Kapoor also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Anil to dress well. Kapoor radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Anil Kapoor may even dress a bit flashy, but that will not harm him. Quality is among Anil's highest priorities, and should reflect in his clothing.Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Anil's capacity for an egocentric attitude. The negative side of his personality can cause Kapoor to be ruthless, greedy, and intensely lonely.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Conversely, Anil Kapoor can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Anil wants everyone to be as excited and as happy as him. Those who are around Kapoor often sense this, and his coworkers and employees usually like him.Kapoor's Personality number often serves as a censoring device, both in terms of what Anil sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Anil Kapoor lets enter his heart and mind.Read more about our numerological interpretation of Anil Kapoor's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/anil-kapoor.jpg
19,Amrish Puri,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ I am like a brick.”Amrish Puri was a male celebrity.He was born on Wednesday June 22nd 1932, in Punjab, India,.Amrish Puri has worked hard to gain confidence and overcome, at least to some extend, an in-born shyness. As a child, and into his early twenties, nervous energy may have caused Amrish to bite his nails or express his nervousness in other ways.He is extremely sensitive and intuitive. Puri is vulnerable and he needs to be more careful than most people when he chooses friends. Amrish Puri seems an easy prey to predatory individuals. He will probably find himself the victim of a con man or con woman more than once in his life.In the eyes of most people, Amrish is perceived as gentle; a safe harbor. People are drawn to him because, among other reasons, he radiates warmth and he is unthreatening. Puri's dress is neat and clean. His clothing should be comfortable, soft, and flowing. Amrish should avoid plain and understated clothes, and make an effort to be a little more daring and exciting in his appearance. This will balance nicely with Amrish Puri's perceptive and open personality. The opposite sex is attracted to his gentle and attentive nature, yet senses the passion beneath his surface. Puri has sex appeal. Exercise is important to his appearance and to promote a level of strength he radiates.Amrish Puri is very patient and understanding, and a wonderful listener. He makes others feel important and loved. Amrish is sensitive and becomes tense in a disharmonious atmosphere. He has experienced quite a bit of negative criticism as a child, which made Puri shy growing up. Though he may be well past that shyness, a bit of the vulnerability has remained with Amrish Puri and is often sensed by others.Amrish is a peacemaker. Arguments leave him drained. People sense Amrish's desire for harmony, but he must avoid being the blank tablet for others' projections. People may underestimate his strength, but this is a mistake. Puri is strong. He bends, but does not break.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Amrish Puri has a fine sense of beauty and excellent taste. There is a grace in his movements, reflecting his keen sense of harmony and refinement.Puri's Personality number often serves as a censoring device, both in terms of what Amrish sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Amrish Puri lets enter his heart and mind.Read more about our numerological interpretation of Amrish Puri's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/amrish-puri.jpg
20,Amole Gupte,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
21,Boman Irani,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
22,Balraj Sahni,"Balraj Sahni was a male celebrity.He was born on Thursday May 1st 1913, in Rawalpindi, Punjab, British India (now Punjab, Pak,.Balraj Sahni has worked hard to gain confidence and overcome, at least to some extend, an in-born shyness. As a child, and into his early twenties, nervous energy may have caused Balraj to bite his nails or express his nervousness in other ways.He is extremely sensitive and intuitive. Sahni is vulnerable and he needs to be more careful than most people when he chooses friends. Balraj Sahni seems an easy prey to predatory individuals. He will probably find himself the victim of a con man or con woman more than once in his life.In the eyes of most people, Balraj is perceived as gentle; a safe harbor. People are drawn to him because, among other reasons, he radiates warmth and he is unthreatening. Sahni's dress is neat and clean. His clothing should be comfortable, soft, and flowing. Balraj should avoid plain and understated clothes, and make an effort to be a little more daring and exciting in his appearance. This will balance nicely with Balraj Sahni's perceptive and open personality. The opposite sex is attracted to his gentle and attentive nature, yet senses the passion beneath his surface. Sahni has sex appeal. Exercise is important to his appearance and to promote a level of strength he radiates.Balraj Sahni is very patient and understanding, and a wonderful listener. He makes others feel important and loved. Balraj is sensitive and becomes tense in a disharmonious atmosphere. He has experienced quite a bit of negative criticism as a child, which made Sahni shy growing up. Though he may be well past that shyness, a bit of the vulnerability has remained with Balraj Sahni and is often sensed by others.Balraj is a peacemaker. Arguments leave him drained. People sense Balraj's desire for harmony, but he must avoid being the blank tablet for others' projections. People may underestimate his strength, but this is a mistake. Sahni is strong. He bends, but does not break.Balraj Sahni has a fine sense of beauty and excellent taste. There is a grace in his movements, reflecting his keen sense of harmony and refinement.Sahni's Personality number often serves as a censoring device, both in terms of what Balraj sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Balraj Sahni lets enter his heart and mind.Read more about our numerological interpretation of Balraj Sahni's personality number . . .",NONE
23,Binnu Dhillon,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
24,Bharat Bhushan,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
25,Chiranjeevi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
26,Chunky Pandey,"Chunky Pandey is a Bollywood Actor.He was born on Wednesday September 26th 1962, in Bombay, India,.Chunky Pandey is highly attractive. Many men with a 3 Personality are very handsome, and women are often strikingly beautiful.Chunky's vibration is full of life. Pandey is uplifting, inspiring, and charming. He is a fun person to be around. His wit and sparkling personality make Chunky Pandey the life of a party. He is extroverted and optimistic. Chunky appreciates fine clothing and jewelry, and enjoys dressing up a bit. He likes glamour, and is sought after by the opposite sex.Pandey is a romantic. He falls in and out of love rather quickly. Chunky Pandey is affectionate and giving, but he must not let his charm be an incentive to play too much. Chunky should work at developing deep and lasting relationships. He has to avoid scattering his attention for popularity. Pandey can be flippant about commitments and may dramatize or exaggerate. His wit can cause Chunky to rely too much on superficial, humorous conversation.Chunky Pandey has a distinct ""lucky streak"" that attracts many opportunities throughout his life. He also has a knack of promoting himself as well as inspiring others. When backed up by hard work and self-disciple, these qualities almost ensure Pandey's success.Pandey's Personality number often serves as a censoring device, both in terms of what Chunky sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Chunky Pandey lets enter his heart and mind.Read more about our numerological interpretation of Chunky Pandey's personality number . . .",NONE
27,Danny Denzongpa,"Danny Denzongpa is a female celebrity.She was born on Wednesday February 25th 1948, in Hyderabad, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Danny Denzongpa is highly attractive. Many men with a 3 Personality are very handsome, and women are often strikingly beautiful.Danny's vibration is full of life. Denzongpa is uplifting, inspiring, and charming. She is a fun person to be around. Her wit and sparkling personality make Danny Denzongpa the life of a party. She is extroverted and optimistic. Danny appreciates fine clothing and jewelry, and enjoys dressing up a bit. She likes glamour, and is sought after by the opposite sex.Denzongpa is a romantic. She falls in and out of love rather quickly. Danny Denzongpa is affectionate and giving, but she must not let her charm be an incentive to play too much. Danny should work at developing deep and lasting relationships. She has to avoid scattering her attention for popularity. Denzongpa can be flippant about commitments and may dramatize or exaggerate. Her wit can cause Danny to rely too much on superficial, humorous conversation.Danny Denzongpa has a distinct ""lucky streak"" that attracts many opportunities throughout her life. She also has a knack of promoting herself as well as inspiring others. When backed up by hard work and self-disciple, these qualities almost ensure Denzongpa's success.Denzongpa's Personality number often serves as a censoring device, both in terms of what Danny sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Danny Denzongpa lets enter her heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Danny Denzongpa's personality number . . .",NONE
